SMIELS,name
CC(C)n1nc(-c2cccc(C(=O)NC3=NCCS3)c2)c2c(N)ncnc21,ZINC000064521265
COc1cc2nc(Nc3cc(C)[nH]n3)nc(Nc3ccc(-c4nc5ccccc5s4)cc3)c2cc1OC,ZINC000040405675
O=C(NCCc1ccc(O)c(Br)c1)/C(Cc1cc(Br)c(O)c(-c2cc(C/C(=N/O)C(=O)NCCc3ccc(O)c(Br)c3)cc(Br)c2O)c1)=N\O,ZINC000150345724
Cn1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21,ZINC000020149030
O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccc(C(=O)O)cc3)n2)c1)Nc1cccc(C(F)(F)F)c1,ZINC000049774632
COc1ccc(Cl)cc1NC(=O)Nc1cccc(-c2cn3ccnc3c(N)n2)c1,ZINC000049034037
O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cccc(Cl)c1Cl,ZINC000049033478
O=C(NCc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,ZINC000049032826
O=C(Nc1cccc(-c2cn3ccnc3c(NCc3cccnc3)n2)c1)Nc1cccc(C(F)(F)F)c1,ZINC000049033965
CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,ZINC000072318122
CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(NC(=O)c4cncc(-c5cccs5)c4)c3)cc2C(F)(F)F)CC1,ZINC000042966573
CN1Cc2cc(Nc3ncc4c(=O)n(-c5c(F)cccc5Cl)c5nccn5c4n3)ccc2C(C)(C)C1,ZINC000143841389
CN1Cc2cc(Nc3ncc4c(=O)n(-c5c(Cl)cccc5Cl)c5nccn5c4n3)ccc2C2(CC2)C1,ZINC000143866588
CN1CCN(c2ccc(Nc3ncc4c(=O)n(-c5c(Cl)cccc5Cl)c5nccn5c4n3)cc2)CC1,ZINC000143881486
